state_key,action_key,action,game,round
"pub_('J',)_priv_('10', '4')_-6.0_9_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",31,2
"pub_('9', 'J')_priv_('10', '4')_-2.5_5_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",31,3
"pub_('5', '9', 'J')_priv_('4',)_-8.5_Q_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",31,4
"pub_()_priv_('7', 'J')_-10.0_K_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",32,1
"pub_('K',)_priv_('7', 'J')_-6.5_6_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",32,2
"pub_('6', 'K')_priv_('7', 'J')_-5.0_4_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",32,3
"pub_('4', '6', 'K')_priv_('J',)_-8.5_7_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",32,4
"pub_()_priv_('3', 'A')_-6.0_7_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",33,1
"pub_('7',)_priv_('3', 'A')_-17.0_Q_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",33,2
"pub_('7', 'Q')_priv_('3', 'A')_-2.0_2_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",33,3
"pub_('2', '7', 'Q')_priv_('A',)_-0.5_J_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",33,4
"pub_()_priv_('10', 'A')_-3.0_4_1",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",34,1
"pub_('A',)_priv_('10',)_6.0_A_2",take_discard_0,"{'type': 'take_discard', 'position': 0}",34,2
"pub_('A', 'A')_priv_('10',)_-3.0_8_3",take_discard_1,"{'type': 'take_discard', 'position': 1}",34,3
"pub_('8', 'A', 'A')_priv_('10',)_-5.5_K_4",take_discard_2,"{'type': 'take_discard', 'position': 2}",34,4
"pub_()_priv_('A', 'J')_-2.0_2_1",take_discard_3,"{'type': 'take_discard', 'position': 3}",35,1
"pub_('2',)_priv_('A',)_1.0_J_2",take_discard_0,"{'type': 'take_discard', 'position': 0}",35,2
"pub_('2', 'J')_priv_('A',)_-5.0_6_3",take_discard_1,"{'type': 'take_discard', 'position': 1}",35,3
"pub_('2', '6', 'J')_priv_('A',)_-4.5_5_4",take_discard_2,"{'type': 'take_discard', 'position': 2}",35,4
"pub_()_priv_('3', '5')_-6.5_9_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",36,1
"pub_('9',)_priv_('3', '5')_-6.5_8_2",take_discard_3,"{'type': 'take_discard', 'position': 3}",36,2
"pub_('8', '9')_priv_('5',)_-1.0_3_3",take_discard_1,"{'type': 'take_discard', 'position': 1}",36,3
"pub_('3', '8', '9')_priv_('5',)_-3.5_5_4",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",36,4
"pub_()_priv_('J', 'K')_-10.0_Q_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",37,1
"pub_('Q',)_priv_('J', 'K')_-6.5_6_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",37,2
"pub_('6', 'Q')_priv_('J', 'K')_-11.0_10_3",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",37,3
"pub_('6', 'K', 'Q')_priv_('J',)_9.0_Q_4",draw_deck_flip_2,"{'type': 'draw_deck', 'keep': False, 'flip_position': 2}",37,4
"pub_()_priv_('A', 'Q')_-9.0_Q_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",38,1
"pub_('Q',)_priv_('A', 'Q')_-11.0_A_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",38,2
"pub_('A', 'Q')_priv_('A', 'Q')_-14.0_4_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",38,3
"pub_('4', 'A', 'Q')_priv_('Q',)_-13.0_3_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",38,4
"pub_()_priv_('2', '5')_1.0_A_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",39,1
"pub_('A',)_priv_('2', '5')_-8.5_Q_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",39,2
"pub_('A', 'Q')_priv_('2', '5')_-1.0_2_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",39,3
"pub_('2', 'A', 'Q')_priv_('5',)_-0.5_3_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",39,4
